OFFICIAL_SUBURB,NUM_RES_PROP,MED_LAND_EXTENT/m2,MED_TOT_BLD_AREA/m2,GV2012_VAL,GV2015_VAL
OCEAN VIEW,2218,206,75,287000.00,380000.00
OKAVANGO PARK,,,,,
O'KENNEDYVILLE,11,993,222,1410000.00,1700000.00
OLIVE GROVE,118,703.5,244.5,1700000.00,1950000.00
ONVERWACHT,927,627,185,940000.00,1160000.00
ONVERWACHT (Gordons Bay),193,301,132,870000.00,870000.00
ONVERWACHT VILLAGE,2,339.5,216,,1400000.00
OOSTERZEE-BELLVILLE,249,744,230,1140000.00,1400000.00
ORANJEZICHT,720,568.5,311,4625000.00,5450000.00
OTTERY,3466,496,175,849000.00,1050000.00
OUDE WESTHOF,360,707,313.5,2135000.00,2850000.00
OUDEKRAAL,,,,,
PAARDE VLEI,108,441,154.5,590000.00,660000.00
PAARDEN EILAND,,,,,
PAARL FARMS,,,,,
PANORAMA,657,808,271,1590000.00,1900000.00
PAREL VALLEI,439,1288,334,2350000.00,2750000.00
PARELVALLEI KLEINHOEWES,29,1791,450,3800000.00,4600000.00
PARKLANDS,6246,347,162,1010000.00,1200000.00
PARKWOOD,364,496,168,531000.00,640000.00
PAROW,304,496,165,820000.00,880000.00
PAROW EAST,,,,,
PAROW GOLF COURSE,17,450,225,1200000.00,1450000.00
PAROW INDUSTRIA,2,139,122,445000.00,525000.00
PAROW NORTH,822,763,266,1320000.00,1600000.00
PAROW VALLEY,1118,496,164.5,730000.00,860000.00
PEACOCK CLOSE,133,350,130,543000.00,660000.00
PEARL MARINA,87,1239,333,2150000.00,2500000.00
PEARL RISE,83,2037,344,2170000.00,2600000.00
PEERLESS PARK EAST,735,496,168,595000.00,680000.00
